date,action,spot,cashflow,n_contracts
2018-07-19,OPEN,1584.3399658203125,100.2764781568003,1
2018-07-30,COVER_CLOSE,1611.0699462890625,-211.32499674549624,1
2018-07-30,OPEN,1611.0699462890625,-82.57847274505136,1
2018-08-08,COVER_CLOSE,1622.6300048828125,-162.0028018286054,1
2018-08-08,OPEN,1622.6300048828125,-141.52673765432604,1
2018-08-17,COVER_CLOSE,1622.7099609375,-163.0302097671507,1
2018-08-17,OPEN,1622.7099609375,-106.609134658417,1
2018-08-28,COVER_CLOSE,1671.1500244140625,-312.52661435773035,1
2018-08-28,OPEN,1671.1500244140625,-129.187630162919,1
2018-09-06,COVER_CLOSE,1632.4200439453125,-205.61798844966836,1
2018-09-06,OPEN,1632.4200439453125,-120.59226492289721,1
2018-09-17,COVER_CLOSE,1640.5999755859375,-160.71924941639895,1
2018-09-17,OPEN,1640.5999755859375,-147.36662709615632,1
2018-09-26,COVER_CLOSE,1658.2900390625,-166.58233839378508,1
2018-09-26,OPEN,1658.2900390625,-133.30044190460694,1
2018-10-05,COVER_CLOSE,1634.8599853515625,-171.95308280570393,1
2018-10-05,OPEN,1634.8599853515625,-113.63177730612283,1
2018-10-11,ROLL_CALL_SIDE,1550.4100341796875,210.69824469155844,1
2018-10-12,ROLL_CALL_SIDE,1536.4599609375,-32.489851625520686,1
2018-10-12,BUTTERFLY_CLOSE,1536.4599609375,-2725.443394029266,1
2018-10-12,OPEN,1536.4599609375,163.7604653955662,1
2018-10-23,COVER_CLOSE,1508.8800048828125,-286.2769191870478,1
2018-10-23,OPEN,1508.8800048828125,97.14783044348843,1
2018-11-01,COVER_CLOSE,1531.260009765625,-371.94303242271184,1
2018-11-01,OPEN,1531.260009765625,251.07708413721775,1
2018-11-12,COVER_CLOSE,1514.5899658203125,-202.38831175880958,1
2018-11-12,OPEN,1514.5899658203125,22.55394046661658,1
2018-11-20,ROLL_CALL_SIDE,1456.8499755859375,55.39398985018377,1
2018-11-21,COVER_CLOSE,1478.43994140625,-1066.3599556284184,1
2018-11-21,OPEN,1478.43994140625,175.18044738076333,1
2018-11-30,COVER_CLOSE,1514.6300048828125,-412.7205329528764,1
