date,equity,cash
2020-08-03,230496.2272912099,235587.93858164854
2020-08-04,228263.0548374029,239613.93679449774
2020-08-05,229729.5050154771,239613.93679449774
2020-08-06,228822.4911573326,231730.81423581723
2020-08-07,229288.67972308554,231730.81423581723
2020-08-10,230021.53972844497,231722.4067363255
2020-08-11,230626.95948222026,231782.09318711533
2020-08-12,230908.07404614863,231782.09318711533
2020-08-13,230790.14909452948,233879.4634110379
2020-08-14,230306.41984976537,235484.66435989187
2020-08-17,232022.88284012352,235484.66435989187
2020-08-18,230546.14889601656,237996.41590023477
2020-08-19,231261.50521396683,237996.41590023477
2020-08-20,231528.430396362,234419.12013552466
2020-08-21,231473.6731329312,234966.0061513203
2020-08-24,232104.5891656016,235824.61148061918
2020-08-25,233253.387065369,235824.61148061918
2020-08-26,233195.41580922226,236685.7989399748
2020-08-27,233700.97238554715,236363.23927125696
2020-08-28,233474.9781597365,237330.32933532403
2020-08-31,229471.91548843446,229471.91548843446
2020-09-01,229471.91548843446,229471.91548843446
2020-09-02,229471.91548843446,229471.91548843446
2020-09-03,229241.44277444936,232288.7141729594
2020-09-04,226071.98477258935,235376.8467634996
2020-09-07,228337.52405182747,235376.8467634996
2020-09-08,228599.1536675062,236814.1315355028
2020-09-09,229154.933595781,236814.1315355028
2020-09-10,227256.36098906293,230003.28365338067
2020-09-11,227984.7659074966,230003.28365338067
2020-09-14,228876.5352721429,230003.28365338067
2020-09-15,228993.46915589098,229931.31050604215
2020-09-16,228692.47353711064,230428.443834114
2020-09-17,228164.61753936252,231031.59580693886
2020-09-18,228580.89246994912,231031.59580693886
2020-09-21,225670.98879488162,234479.44571144241
2020-09-22,224626.32865672992,224626.32865672992
2020-09-23,224626.32865672992,224626.32865672992
2020-09-24,224397.03168553603,227326.72880492656
