strategy,ticker,entry_date,entry_px,exit_date,exit_px,hold_days,ret,entry_val,reason
A,NDA-SE.ST,2025-04-01,126.85,2025-04-24,126.7,23,-0.0011755333174230387,0.6171344256355281,rotate
A,BOL.ST,2025-04-01,320.66,2025-04-24,292.59,23,-0.08752659925539696,0.6171344256355281,rotate
A,ESSITY-B.ST,2025-04-24,261.23,2025-05-16,266.92,22,0.02179539166458433,0.5995140583027495,rotate
A,TEL2-B.ST,2025-04-24,128.23,2025-06-10,134.39,47,0.04799231395687009,0.5995140583027495,6wk-exit
A,TELIA.ST,2025-04-24,33.33,2025-06-10,33.38,47,0.0014107818663657845,0.5995140583027495,6wk-exit
A,SSAB-A.ST,2025-05-16,57.54,2025-06-10,58.64,25,0.018983060016081188,0.6073417461200662,rotate
A,SAAB-B.ST,2025-05-16,447.3,2025-07-02,486.41,47,0.08743600009060493,0.6073417461200662,6wk-exit
A,SHB-A.ST,2025-05-16,112.47,2025-07-02,109.72,47,-0.024456575010444626,0.6073417461200662,6wk-exit
A,SWED-A.ST,2025-05-16,231.18,2025-07-02,228.09,47,-0.01337004795346175,0.5785119863363751,6wk-exit
A,WALL-B.ST,2025-06-10,46.89,2025-07-23,45.12,43,-0.03787867325072514,0.5998524511695803,6wk-exit
A,ADDT-B.ST,2025-06-10,325.88,2025-07-23,332.42,43,0.020060783556113293,0.5998524511695803,6wk-exit
A,CAST.ST,2025-06-10,120.31,2025-07-23,114.09,43,-0.0516844349409753,0.5998524511695803,6wk-exit
A,BALD-B.ST,2025-07-02,71.5,2025-07-23,69.16,21,-0.03272722150895979,0.6130324701885989,rotate
A,TEL2-B.ST,2025-07-02,131.1,2025-07-23,143.63,21,0.09556682870280109,0.6130324701885989,rotate
A,SINCH.ST,2025-07-02,28.25,2025-08-13,30.5,42,0.07964601769911495,0.6130324701885989,6wk-exit
A,SKF-B.ST,2025-07-23,232.65,2025-08-13,231.18,21,-0.006339863789831757,0.637790393561751,rotate
A,KINV-B.ST,2025-07-23,91.62,2025-08-13,87.48,21,-0.04518663245513688,0.637790393561751,rotate
A,HPOL-B.ST,2025-07-23,83.09,2025-08-13,79.03,21,-0.048863699283021145,0.47447768666913454,rotate
A,EQT.ST,2025-07-23,327.82,2025-09-03,329.4,42,0.004808985759972906,0.637790393561751,6wk-exit
A,SAND.ST,2025-07-23,237.43,2025-09-03,234.38,42,-0.012852339258518364,0.637790393561751,6wk-exit
A,SAAB-B.ST,2025-08-13,497.77,2025-09-03,530.1,21,0.06495850884814125,0.6048040835785266,rotate
A,AZN.ST,2025-08-13,1476.26,2025-09-03,1545.2,21,0.04670053002839625,0.5311133813697595,rotate
A,EVO.ST,2025-08-13,810.0,2025-09-24,820.6,42,0.0130863896122686,0.6048040835785266,6wk-exit
A,ABB.ST,2025-08-13,637.81,2025-09-24,669.37,42,0.0494833510511401,0.6048040835785266,6wk-exit
A,HUSQ-B.ST,2025-09-03,51.33,2025-09-24,47.62,21,-0.07235333552860834,0.607823718335157,rotate
A,VOLV-B.ST,2025-09-03,266.08,2025-09-24,261.85,21,-0.01589023461218464,0.607823718335157,rotate
A,NIBE-B.ST,2025-09-03,37.02,2025-09-24,34.65,21,-0.06398926037078678,0.607823718335157,rotate
