top_n,mom_w,reb_w,buf,stop,final,cagr,sharpe,max_dd,monthly,fees,trades,buys,stops,exits
6,12,4,0,0.15,337716.5734321507,0.11829083920715844,0.7408756772924479,-0.25185118257178807,1819.7933108252232,36130.57242279909,734,370,25,339
6,8,4,4,0.15,336174.2240735026,0.11695037665667773,0.7279193048800351,-0.24860591460764914,1795.3428934158928,30807.188842680956,650,328,16,306
4,8,1,4,0.15,334920.8364006485,0.11656984751397492,0.6801743634717194,-0.27964886204549766,1785.8149245616232,52508.83339915612,748,376,8,364
8,26,4,8,0.1,327067.0356874504,0.11807552380188135,0.7639601645383818,-0.2961123830935092,1782.195177601024,17261.866414066313,434,221,38,175
6,12,1,8,0.1,332176.81869215117,0.11659301208557471,0.7421820959612371,-0.23943174251809585,1777.3847884663862,31268.072125491133,634,320,32,282
6,12,1,8,0.15,330482.24360845936,0.1160685207088541,0.7383164844084122,-0.23927378799516152,1764.4122962355336,30803.109949127203,626,316,11,299
4,8,1,4,0.1,331664.0096853771,0.11557498934697086,0.6755236032104659,-0.27857199235590735,1761.0572664332333,53105.21343721962,760,382,35,343
8,12,1,4,0.1,329091.2215159502,0.1156361541835671,0.7848286832378065,-0.22359055269828554,1753.763595294702,39533.5382763777,976,492,36,448
4,26,4,0,0.15,323046.20159174065,0.1167736668238799,0.6631098348634163,-0.28169661382961564,1750.636606742807,26390.448757876406,442,223,9,210
6,12,2,0,0.15,328372.360614578,0.11541206229425471,0.7397562805796314,-0.2573740000370497,1748.2604945186665,51535.80312462622,1066,536,13,517
6,12,2,0,0.1,327795.93904540426,0.11523205121969515,0.7406343308635923,-0.25084276124811333,1743.8478105368442,51526.33772518737,1070,538,46,486
8,12,1,4,0.15,327078.02773796266,0.11500745181912952,0.781001855021147,-0.2270236831304332,1738.351979193722,39325.67036689566,972,490,10,472
6,12,4,4,0.1,326016.03341132845,0.11467438329987267,0.7367518215724116,-0.27516286629840847,1730.2220867598867,27042.617767985346,550,278,50,222
8,26,4,4,0.1,316222.81040816114,0.11453043504831029,0.7522584888034628,-0.2997363924866593,1697.0814316138228,20373.608357860554,514,261,45,208
6,8,4,8,0.15,322675.69554306596,0.11278255423345196,0.7139047743482871,-0.24796378198890723,1692.7301406323852,25131.430220827115,510,258,17,235
6,8,4,4,0.1,320710.8491987888,0.1121627230129143,0.7201862090686646,-0.24284559643662795,1677.793824297736,31027.838333636315,666,336,43,287
6,12,4,4,0.15,316712.42953733436,0.11171365560335822,0.7034195639212183,-0.295196487361133,1659.0001443769152,26105.183589420314,540,273,24,243
4,26,4,0,0.1,310116.42016190436,0.11248543034871661,0.6476125929997686,-0.2976744652084766,1649.1538263738948,26266.526019392986,446,225,26,195
6,12,4,0,0.1,315103.1171355429,0.11119352050816422,0.722294769804602,-0.27539466980577465,1646.6803641381005,36353.824879151354,746,376,54,316
6,8,2,8,0.1,315904.0384611903,0.11063169241756743,0.7062976739460225,-0.29499774363432696,1641.2535391264935,30063.91430904292,638,322,42,274
6,8,2,0,0.15,313367.9968685674,0.10981537915474271,0.7074849317153047,-0.22726706752034165,1621.9751260457097,56865.695962472026,1250,628,10,612
6,8,4,0,0.15,311426.33936868375,0.10918632111410909,0.6830779125016454,-0.27791476405404725,1607.2150860475303,41609.22939314173,878,442,21,415
6,8,2,0,0.1,310943.89544691076,0.10902946622537013,0.7037808421594874,-0.23005352750176244,1603.547656759577,56653.759980068266,1252,629,41,582
6,8,4,8,0.1,308277.35098882567,0.10815849399327737,0.7073087235880183,-0.24128294009894202,1583.277190490105,25449.280431309708,528,267,45,216
6,12,1,0,0.15,303304.60888429737,0.10730479396831338,0.7020211097018313,-0.24608785252111076,1556.3591632081996,67163.7118192091,1536,771,6,759
