date,action,ticker,name,shares,price,value,fee,reason,cash_after,portfolio_value
2019-08-30,BUY,VOLV-B.ST,Volvo,7352,88.53,650876.0,976,dip to support,504541,3904612
2019-09-02,SIP,,monthly deposit,,,25000.0,0,contribution,529541,3939418
2019-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,554541,4027423
2019-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,579541,4322011
2019-12-02,SIP,,monthly deposit,,,25000.0,0,contribution,604541,4497266
2020-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,629541,4885392
2020-02-03,SIP,,monthly deposit,,,25000.0,0,contribution,654541,4995278
2020-03-02,SIP,,monthly deposit,,,25000.0,0,contribution,679541,5001643
2020-03-09,SELL,VOLV-B.ST,Volvo,7352,85.49,628540.0,943,"trailing stop (entry 88.53, P/L -3.4%)",1307138,4781321
2020-03-11,SELL,NIBE-B.ST,NIBE,26807,34.09,913972.0,1371,"trailing stop (entry 22.63, P/L +50.6%)",2219739,4650370
2020-03-12,SELL,INVE-B.ST,Investor,6105,88.31,539137.0,809,"trailing stop (entry 59.33, P/L +48.8%)",2758067,4420987
2020-03-12,SELL,TELIA.ST,Telia,24606,20.67,508595.0,763,"trailing stop (entry 22.44, P/L -7.9%)",3265899,4420224
2020-03-12,SELL,EVO.ST,Evolution,3645,316.69,1154325.0,1731,"trailing stop (entry 176.16, P/L +79.8%)",4418492,4418492
2020-03-20,BUY,EVO.ST,Evolution,2231,330.05,736336.0,1105,dip to support,3681052,4417388
2020-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,3706052,4452986
2020-05-04,SIP,,monthly deposit,,,25000.0,0,contribution,3731052,4723725
2020-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,3756052,5019856
2020-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,3781052,5128890
2020-07-17,BUY,AZN.ST,AstraZeneca,849,1038.62,881785.0,1323,dip to support,2897945,5291076
2020-08-03,SIP,,monthly deposit,,,25000.0,0,contribution,2922945,5177222
2020-08-14,BUY,SCA-B.ST,SCA,8599,98.34,845592.0,1268,dip to support,2076084,5072337
2020-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,2101084,5213591
2020-09-25,BUY,EQT.ST,EQT,5509,156.29,860995.0,1291,dip to support,1238797,5164852
2020-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,1263797,5322658
